"Référence OSM mère (Opportunité)";"Référence OSM (Opportunité)";"Client/Prospect (Opportunité)";"Offre";"Nature Offre";"Produit existant";"Nature produit (Produit existant)";"Quantité";"Prix unitaire";"Total final";"Remise (%) (Opportunité)";"Total remisé HT";"Extension (Opportunité)";"Budget à valider (Opportunité)";"Budget à valider Extension (Opportunité)";"Durée d'engagement (Opportunité)";"Type d'engagement (Opportunité)";"Demandeur (Opportunité)";"Equipe";"Créé le (Opportunité)";"Mois de création";"Année de création";"Mois et année de création";"Raison de statut OSM (Opportunité)";"Statut OSM (Opportunité)";"Statut activation (Commande)";"Date d’activation (Commande)";"Mois d'activation";"Staut Final";"Gouvernorat";"Phase de l’opportunité (Opportunité)"
"20200312_50641";"20210524_62289";"STE EL MAHDI DE COMMERCE SOMACOM";"Top du Top 30";"MOBILE";"Top du Top 30";"Offre";"2";"30";"60";"0";"50.4201680672269";"Oui";"3858";"1539";"24";"Engagement";"Zied Boulifa";"FID";"Mon May 24 09:44:36 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 24 00:00:00 CEST 2021";"5";"Conclue";"Mahdia";"Analyzing"
"20200312_50641";"20210524_62289";"STE EL MAHDI DE COMMERCE SOMACOM";"Top du Top 50";"MOBILE";"Top du Top 50";"Offre";"1";"50";"50";"0";"42.0168067226891";"Oui";"3858";"1539";"24";"Engagement";"Zied Boulifa";"FID";"Mon May 24 09:44:36 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 24 00:00:00 CEST 2021";"5";"Conclue";"Mahdia";"Analyzing"
"20200312_50641";"20210524_62289";"STE EL MAHDI DE COMMERCE SOMACOM";"Flybox Pro plus 75 Go";"BROAD BAND";"Flybox Pro plus 75 Go";"Offre";"1";"42";"42";"0";"35.2941176470588";"Oui";"3858";"1539";"24";"Engagement";"Zied Boulifa";"FID";"Mon May 24 09:44:36 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 24 00:00:00 CEST 2021";"5";"Conclue";"Mahdia";"Analyzing"
"";"20210524_62299";"chaabene freres";"Flybox Pro plus 75 Go";"BROAD BAND";"Flybox Pro plus 75 Go";"Offre";"1";"42";"42";"0";"35.2941176470588";"Non";"219";"";"24";"Engagement";"Yassine Znazen";"FID";"Mon May 24 10:21:02 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 24 00:00:00 CEST 2021";"5";"Conclue";"Sfax";"Analyzing"
"";"20210524_62317";"NATURALLABO";"Forfait data Pro plus 55 Go";"BROAD BAND";"Forfait data Pro plus 55 Go";"Offre";"1";"32";"32";"0";"26.890756302521";"Non";"199";"";"24";"Engagement";"Yassine Znazen";"FID";"Mon May 24 12:06:56 CEST 2021";"5";"2021";"5/2021";"Reportée";"Validée";"";"";"";"";"Sfax";"Analyzing"
"";"20210524_62320";"Manufacture de Panneaux Bois du Sud MPBS";"Forfait data Pro plus 55 Go";"BROAD BAND";"Forfait data Pro plus 55 Go";"Offre";"1";"32";"32";"0";"26.890756302521";"Non";"199";"";"24";"Engagement";"Yassine Znazen";"FID";"Mon May 24 12:13:39 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 24 00:00:00 CEST 2021";"5";"Conclue";"Sfax";"Analyzing"
"";"20210524_62336";"STE CG COMPANY";"Top du Top 50";"MOBILE";"Top du Top 50";"Offre";"3";"50";"150";"0";"126.050420168067";"Non";"219";"";"12";"Engagement";"Zied Boulifa";"FID";"Mon May 24 16:14:37 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Fri May 28 00:00:00 CEST 2021";"5";"Conclue";"0";"Analyzing"
"";"20210524_62340";"SODAF";"Flybox Pro plus 75 Go";"BROAD BAND";"Flybox Pro plus 75 Go";"Offre";"1";"42";"42";"0";"35.2941176470588";"Non";"219";"";"24";"Engagement";"Yassine Znazen";"FID";"Mon May 24 16:53:37 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Tue Jun 01 00:00:00 CEST 2021";"6";"Conclue";"Sfax";"Analyzing"
"20200304_50437";"20210525_62363";"GIZ DIGITAL4JOBS";"Top du Top 50";"MOBILE";"Top du Top 50";"Offre";"10";"50";"500";"0";"420.168067226891";"Oui";"17790";"6396";"24";"Engagement";"Helmi Hadhiri";"DME NORD";"Tue May 25 10:34:43 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Wed May 26 00:00:00 CEST 2021";"5";"Conclue";"Tunis";"Analyzing"
"20200324_50875";"20210525_62373";"GIZ DIGITAL4JOBS";"Forfait data Pro plus 35 Go";"BROAD BAND";"Forfait data Pro plus 35 Go";"Offre";"10";"24";"240";"0";"201.680672268908";"Oui";"4378";"1990";"12";"Engagement";"Helmi Hadhiri";"DME NORD";"Tue May 25 11:43:15 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Wed May 26 00:00:00 CEST 2021";"5";"Conclue";"Tunis";"Analyzing"
